MGA,Program Name,Issuing Company,Full policy number,Policy Effective Date,Policy Expiration Date,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Transaction Effective Date,Transaction Expiration Date,Premium,Terrorism Premium,Total Gross Premium including Terrorism,Commission amount,Net Premium,Surcharge amount,Tax Amount,Tax Type,Fee Amount,Fee Type,Payment terms,Book or Process Date,Policy Type,Transaction Type,Primary/Excess Indicator,Attachment Point,CM/Occ Indicator,Risk/Location #,Risk/Location Address,Risk/Location City,Risk/Location State,Risk/Location Zip,Risk/Location premium,Technical Price,IRPM (Individual Risk Premium Modification),Exposure Type,Exposure Amount,Policy Occurrence Limit,Policy Aggregate Limit,SIR/Deductible indicator,SIR/Deductible amount,SIR/Deductible type,NAICS or SIC Code,Annual Statement Line Code,Annual Statement Line Description,Issue Date,Policy Event Number,Carrier %,Carrier Limit,Broker/Agent,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,Direct/Assumed,Fac?,Damage to Premises Rented to you Limit,Medical Expense Limit Included,Medical Expense Limit,Personal and Advertising Injury Limit,Products/Completed Operations Aggregate Limit,Employee Benefits Limit
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08-04-2023,06/17/2024,500,15,515,87.55,427.45,0,0,Non Admitted,0,FALSE,Agent Statement Bill Full Pay,08-07-2023,New Business,Endorsement,Primary,0,Occurrence,1,154 WESTLAND ST,HARTFORD,CT,6120,500,0,0,0,0,1000000,2000000,Deductible,25000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,08-07-2023,0-5,100,2000000,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342,Direct,N,100000,NO,0,1000000,2000000,1000000
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08-04-2023,06/17/2024,500,15,515,87.55,427.45,0,0,Non Admitted,0,FALSE,Agent Statement Bill Full Pay,8/25/2023,New Business,Endorsement,Primary,0,Occurrence,1,154 WESTLAND ST,HARTFORD,CT,6120,500,0,0,0,0,1000000,2000000,Deductible,25000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,8/25/2023,0-10,100,2000000,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342,Direct,N,100000,NO,0,1000000,2000000,1000000
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08-04-2023,06/17/2024,0,0,0,0,0,0,0,Non Admitted,-100,Policy Fee,Agent Statement Bill Full Pay,8/25/2023,New Business,Unapply,Primary,0,Occurrence,0,154 WESTLAND ST,HARTFORD,CT,6120,0,0,0,1,0,1000000,2000000,Deductible,25000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,8/25/2023,0-6,100,2000000,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342,Direct,N,100000,NO,0,1000000,2000000,1000000
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08-04-2023,06/17/2024,0,0,0,0,0,0,0,Non Admitted,100,Policy Fee,Agent Statement Bill Full Pay,08-07-2023,New Business,Endorsement,Primary,0,Occurrence,0,154 WESTLAND ST,HARTFORD,CT,6120,0,0,0,1,0,1000000,2000000,Deductible,25000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,08-07-2023,0-5,100,2000000,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342,Direct,N,100000,NO,0,1000000,2000000,1000000
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08-04-2023,06/17/2024,0,0,0,0,0,0,0,Non Admitted,100,Policy Fee,Agent Statement Bill Full Pay,8/25/2023,New Business,Endorsement,Primary,0,Occurrence,0,154 WESTLAND ST,HARTFORD,CT,6120,0,0,0,1,0,1000000,2000000,Deductible,25000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,8/25/2023,0-10,100,2000000,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342,Direct,N,100000,NO,0,1000000,2000000,1000000
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08-04-2023,06/17/2024,-500,-15,-515,-87.55,-427.45,0,0,Non Admitted,0,FALSE,Agent Statement Bill Full Pay,8/25/2023,New Business,Unapply,Primary,0,Occurrence,1,154 WESTLAND ST,HARTFORD,CT,6120,-500,0,0,0,0,1000000,2000000,Deductible,25000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,8/25/2023,0-6,100,2000000,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342,Direct,N,100000,NO,0,1000000,2000000,1000000
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,5750,0,5750,977.5,4772.5,0,0,Non Admitted,0,FALSE,Agent Statement Bill Full Pay,08-02-2023,New Business,New Business,Primary,0,Occurrence,1,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,5750,7268,0,Gross Sales,"5,00,000",1000000,2000000,Deductible,10000,Per Occurrence,5813,17.1001,All Other Liability Occurrence,08-02-2023,0-1,100,2000000,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277,Direct,N,100000,NO,0,1000000,2000000,0
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,14250,0,14250,2422.5,11827.5,0,0,Non Admitted,0,FALSE,Agent Statement Bill Full Pay,08-02-2023,New Business,New Business,Primary,0,Occurrence,1,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,14250,7268,0,Gross Sales,"15,00,000",1000000,2000000,Deductible,10000,Per Occurrence,5813,17.1001,All Other Liability Occurrence,08-02-2023,0-1,100,2000000,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277,Direct,N,100000,NO,0,1000000,2000000,0
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,0,0,0,0,0,0,0,Non Admitted,1000,Policy Fee,Agent Statement Bill Full Pay,08-02-2023,New Business,New Business,Primary,0,Occurrence,0,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,0,0,0,1,0,1000000,2000000,Deductible,10000,Per Occurrence,5813,17.1001,All Other Liability Occurrence,08-02-2023,0-1,100,2000000,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277,Direct,N,100000,NO,0,1000000,2000000,0
Arrowhead General Insurance Agency Inc,Arrowhead ES Primary General Liability,TSIC,TSAHGL0000044-00,08-02-2023,08-02-2024,"Gateway Commons Homeowner?s Association, Inc.",6153 N CEYLON ST,DENVER,CO,80249,08-02-2023,08-02-2024,10000,0,10000,1700,8300,0,0,Non Admitted,0,FALSE,Agent Statement Bill Full Pay,08-07-2023,New Business,New Business,Primary,0,Occurrence,1,14142 DENVER WEST PKWY,LAKEWOOD,CO,80401,10000,1352,0,Units,20,1000000,2000000,Deductible,5000,Per Occurrence,6531,17.1001,All Other Liability Occurrence,08-07-2023,0-1,100,2000000,Amwins Insurance Brokerage LLC,3630 Peachtree Rd. NE Suite 1700,ATLANTA,GA,30326,Direct,N,50000,NO,0,1000000,2000000,0
