policy number,transaction number,location number,unit number,risk industry code,risk industry code type,increment,written premium ex tria,written premium tria,exposure,exposure basis,exposure secondary,exposure basis secondary,schedule modifier,technical premium,risk location address 1,risk location address 2,,risk state code,risk location zip,rating factor base rate pll,rating retro yrs,rating factor retro date,rating factor locations,rating tank contents,rating factor tanks,rating tank size,rating factor tank size,rating tank containment,rating factor tank containment,rating tank age,rating factor tank age,rating factor base rate cpl,rating subcontractor percent,rating factor revenue
PLL0000030-00,2,1,1,10073,ISO,1,-324.51,0,1,Number of Locations,0,,1,393,673 E SUNNY DUNES RD,,,CA,92264-8193,650,7,1.1,0.55,,,,,,,,,,,
PLL0000030-00,2,2,1,10073,ISO,2,396.42,0,1,Number of Locations,0,,1,393,640 E SUNNY DUNES RD,,,CA,92264,650,7,1.1,0.55,,,,,,,,,,,
PLL0000036-00,1,1,1,10073,ISO,1,893,0,1,Number of Locations,1,Number of Tanks,1,833,5512 W WATERS AVE,,,FL,33634-1211,650,13,1.1,1,Petroleum,113,< 500 G,0.95,ConcreteSteel,0.95,10,0.9,,,
PLL0000036-00,1,1,2,10073,ISO,2,127,0,0,,1,Number of Tanks,1,118,5512 W WATERS AVE,,,FL,33634-1211,,13,1.1,,Petroleum,113,< 500 G,0.95,ConcreteSteel,0.95,10,0.9,,,
PLL0000036-00,1,1,3,10073,ISO,3,127,0,0,,1,Number of Tanks,1,118,5512 W WATERS AVE,,,FL,33634-1211,,13,1.1,,Petroleum,113,< 500 G,0.95,ConcreteSteel,0.95,10,0.9,,,
PLL0000036-00,1,1,4,10073,ISO,4,127,0,0,,1,Number of Tanks,1,118,5512 W WATERS AVE,,,FL,33634-1211,,13,1.1,,Petroleum,113,< 500 G,0.95,ConcreteSteel,0.95,10,0.9,,,
PLL0000038-00,1,1,1,10073,ISO,1,722,0,1,Number of Locations,1,Number of Tanks,1,644,769-785 CENTRAL AVE,,,NY,12206,650,6,1.1,0.52,Petroleum,225,"> 3,000 G",0.95,None,1.1,4,0.9,,,
PLL0000038-00,1,1,2,10073,ISO,2,153,0,0,,1,Number of Tanks,1,137,769-785 CENTRAL AVE,,,NY,12206,,6,1.1,,Petroleum,113,< 500 G,0.95,None,1.1,10,0.9,,,
PLL0000038-00,1,1,3,10073,ISO,3,153,0,0,,1,Number of Tanks,1,137,769-785 CENTRAL AVE,,,NY,12206,,6,1.1,,Petroleum,113,< 500 G,0.95,None,1.1,10,0.9,,,
PLL0000038-00,1,1,4,10073,ISO,4,153,0,0,,1,Number of Tanks,1,137,769-785 CENTRAL AVE,,,NY,12206,,6,1.1,,Petroleum,113,< 500 G,0.95,None,1.1,10,0.9,,,
PLL0000038-00,1,1,5,10073,ISO,5,118,0,0,,1,Number of Tanks,1,105,769-785 CENTRAL AVE,,,NY,12206,,6,1.1,,Solvent,113,< 500 G,0.95,None,1.1,10,0.9,,,
PLL0000038-00,1,1,6,10073,ISO,6,153,0,0,,1,Number of Tanks,1,137,769-785 CENTRAL AVE,,,NY,12206,,6,1.1,,Petroleum,113,< 500 G,0.95,None,1.1,10,0.9,,,
PLL0000038-00,1,1,7,10073,ISO,7,153,0,0,,1,Number of Tanks,1,137,769-785 CENTRAL AVE,,,NY,12206,,6,1.1,,Petroleum,113,< 500 G,0.95,None,1.1,10,0.9,,,
PLL0000038-00,1,2,1,10073,ISO,8,417,0,1,Number of Locations,0,,1,372,1101 CENTRAL AVE,,,NY,12205-3401,650,6,1.1,0.52,,,,,,,,,,,
PLL0000038-00,1,3,1,10073,ISO,9,417,0,1,Number of Locations,0,,1,372,1 FAIRFIELD AVE,,,NY,12205-3405,650,6,1.1,0.52,,,,,,,,,,,
PLL0000038-00,1,4,8,10073,ISO,10,643,0,1,Number of Locations,1,Number of Tanks,1,574,799 CENTRAL AVE,,,NY,12206-1501,650,6,1.1,0.52,Petroleum,150,"500 - 1,000 G",0.95,None,1.1,20,1,,,
PLL0000038-00,1,4,9,10073,ISO,11,312,0,0,,1,Number of Tanks,1,278,799 CENTRAL AVE,,,NY,12206-1501,,6,1.1,,Petroleum,188,"1,000 - 3,000 G",0.95,None,1.1,29,1.1,,,
PLL0000038-00,1,5,1,10073,ISO,12,417,0,1,Number of Locations,0,,1,372,815 CENTRAL AVE,,,NY,12206,650,6,1.1,0.52,,,,,,,,,,,
PLL0000038-00,1,6,10,10073,ISO,13,549,0,1,Number of Locations,1,Number of Tanks,1,490,1586 CENTRAL AVE,,,NY,12205-2403,650,6,1.1,0.52,Petroleum,113,< 500 G,0.95,ConcreteSteel,0.95,4,0.9,,,
PLL0000039-00,1,1,1,10073,ISO,1,947,0,1,Number of Locations,1,Number of Tanks,1,845,5802 SPUR 327,,,TX,79424-2704,650,1,1.02,1,Solvent,150,"500 - 1,000 G",1,None,1.1,34,1.2,,,
PLL0000039-00,1,1,2,10073,ISO,2,265,0,0,,1,Number of Tanks,1,236,5802 SPUR 327,,,TX,79424-2704,,1,1.02,,Petroleum,150,"500 - 1,000 G",1,None,1.1,34,1.2,,,
PLL0000040-00,1,1,1,10073,ISO,1,600,0,1,Number of Locations,1,Number of Tanks,1,536,909 FAIRPORT RD,,,NY,14445-1911,650,0,1,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,29,1.1,,,
PLL0000040-00,1,1,2,10073,ISO,2,214,0,0,,1,Number of Tanks,1,191,909 FAIRPORT RD,,,NY,14445-1911,,0,1,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,29,1.1,,,
PLL0000040-00,1,1,3,10073,ISO,3,214,0,0,,1,Number of Tanks,1,191,909 FAIRPORT RD,,,NY,14445-1911,,0,1,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,29,1.1,,,
PLL0000040-00,1,1,5,10073,ISO,4,124,0,0,,1,Number of Tanks,1,111,909 FAIRPORT RD,,,NY,14445-1911,,0,1,,Solvent,113,< 500 G,0.9,None,1.1,29,1.1,,,
PLL0000040-00,1,2,6,10073,ISO,5,600,0,1,Number of Locations,1,Number of Tanks,1,536,50 MARSH RD,,,NY,14445-1916,650,0,1,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,25,1.1,,,
PLL0000040-00,1,2,7,10073,ISO,6,195,0,0,,1,Number of Tanks,1,174,50 MARSH RD,,,NY,14445-1916,,0,1,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,14,1,,,
PLL0000040-00,1,2,8,10073,ISO,7,244,0,0,,1,Number of Tanks,1,218,50 MARSH RD,,,NY,14445-1916,,0,1,,Petroleum,188,"1,000 - 3,000 G",0.9,None,1.1,14,1,,,
PLL0000040-00,1,3,4,10073,ISO,8,600,0,1,Number of Locations,1,Number of Tanks,1,536,66 MARSH RD,,,NY,14445-1916,650,0,1,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,30,1.1,,,
PLL0000040-00,1,3,9,10073,ISO,9,214,0,0,,1,Number of Tanks,1,191,66 MARSH RD,,,NY,14445-1916,,0,1,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,30,1.1,,,
PLL0000040-00,1,3,10,10073,ISO,10,132,0,0,,1,Number of Tanks,1,118,66 MARSH RD,,,NY,14445-1916,,0,1,,Petroleum,113,< 500 G,0.9,None,1.1,9,0.9,,,
PLL0000040-00,1,3,11,10073,ISO,11,132,0,0,,1,Number of Tanks,1,118,66 MARSH RD,,,NY,14445-1916,,0,1,,Petroleum,113,< 500 G,0.9,None,1.1,8,0.9,,,
PLL0000040-00,1,4,12,10073,ISO,12,600,0,1,Number of Locations,1,Number of Tanks,1,536,925 FAIRPORT RD,,,NY,14445-1911,650,0,1,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,30,1.1,,,
PLL0000040-00,1,4,13,10073,ISO,13,214,0,0,,1,Number of Tanks,1,191,925 FAIRPORT RD,,,NY,14445-1911,,0,1,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,30,1.1,,,
PLL0000040-00,1,4,14,10073,ISO,14,175,0,0,,1,Number of Tanks,1,156,925 FAIRPORT RD,,,NY,14445-1911,,0,1,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,9,0.9,,,
PLL0000040-00,1,4,15,10073,ISO,15,102,0,0,,1,Number of Tanks,1,91,925 FAIRPORT RD,,,NY,14445-1911,,0,1,,Solvent,113,< 500 G,0.9,None,1.1,8,0.9,,,
PLL0000040-00,2,1,1,10073,ISO,16,48,0,1,Number of Locations,1,Number of Tanks,1,578,909 FAIRPORT RD,,,NY,14445-1911,650,4,1.08,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,29,1.1,,,
PLL0000040-00,2,1,2,10073,ISO,17,17,0,0,,1,Number of Tanks,1,206,909 FAIRPORT RD,,,NY,14445-1911,,4,1.08,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,29,1.1,,,
PLL0000040-00,2,1,3,10073,ISO,18,17,0,0,,1,Number of Tanks,1,206,909 FAIRPORT RD,,,NY,14445-1911,,4,1.08,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,29,1.1,,,
PLL0000040-00,2,1,5,10073,ISO,19,10,0,0,,1,Number of Tanks,1,120,909 FAIRPORT RD,,,NY,14445-1911,,4,1.08,,Solvent,113,< 500 G,0.9,None,1.1,29,1.1,,,
PLL0000040-00,2,2,6,10073,ISO,20,48,0,1,Number of Locations,1,Number of Tanks,1,578,50 MARSH RD,,,NY,14445-1916,650,4,1.08,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,25,1.1,,,
PLL0000040-00,2,2,7,10073,ISO,21,15,0,0,,1,Number of Tanks,1,188,50 MARSH RD,,,NY,14445-1916,,4,1.08,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,14,1,,,
PLL0000040-00,2,2,8,10073,ISO,22,20,0,0,,1,Number of Tanks,1,235,50 MARSH RD,,,NY,14445-1916,,4,1.08,,Petroleum,188,"1,000 - 3,000 G",0.9,None,1.1,14,1,,,
PLL0000040-00,2,3,4,10073,ISO,23,48,0,1,Number of Locations,1,Number of Tanks,1,578,66 MARSH RD,,,NY,14445-1916,650,4,1.08,0.53,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,30,1.1,,,
PLL0000040-00,2,3,9,10073,ISO,24,17,0,0,,1,Number of Tanks,1,206,66 MARSH RD,,,NY,14445-1916,,4,1.08,,Petroleum,150,"500 - 1,000 G",0.9,None,1.1,30,1.1,,,
PLL0000040-00,2,3,10,10073,ISO,25,11,0,0,,1,Number of Tanks,1,127,66 MARSH RD,,,NY,14445-1916,,4,1.08,,Petroleum,113,< 500 G,0.9,None,1.1,9,0.9,,,
PLL0000040-00,2,3,11,10073,ISO,26,11,0,0,,1,Number of Tanks,1,127,66 MARSH RD,,,NY,14445-1916,,4,1.08,,Petroleum,113,< 500 G,0.9,None,1.1,8,0.9,,,
