,Full policy number,Expiring Policy Number,Policy Effective Date,Policy Expiration Date,Transaction Effective Date,Transaction Expiration Date,Transaction Type,Policy Type,Premium,Carrier %,Exposure Type,Policy Occurrence Limit,Policy Aggregate Limit,Attachment Point,SIR/Deductible amount,Commission amount,Risk/Location Address,Risk/Location State,Risk/Location Zip,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Broker/Agent,MGA,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,NJ Transaction Number,Primary/Excess Indicator,CM/Occ Indicator,Radius Of Use,"Vehicle Number of Seats, Seating Capacity",Gross Vehicle Weight,Vehicle Number,Vehicle Make,Vehicle Model,Model Year,Vehicle Type
0,ASC-8398701-00,,2023-08-03,2024-08-03,2023-10-24,2024-08-03,CN,Cancellation,-138.67,100.0,,1000000.0,"$2,000,000",0.0,,-24.27,3106 Town and Country Road,GA,39845,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.9655,1-8,"Medium Trucks (10,000 - 20,000)",3C63RPGL2FG591908,RAM,3500,2015.0,Truck
1,ASC-8398701-00,,2023-08-03,2024-08-03,2023-10-24,2024-08-03,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,3106 Town and Country Road,GA,39845,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.9655,1-8,"Medium Trucks (10,000 - 20,000)",3C63RPGL2FG591908,RAM,3500,2015.0,Truck
2,ASC-8398701-00,,2023-08-03,2024-08-03,2023-10-24,2024-08-03,CN,Cancellation,-61.31,100.0,,1000000.0,"$2,000,000",0.0,,-10.73,3106 Town and Country Road,GA,39845,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.9655,1-8,"Medium Trucks (10,000 - 20,000)",3C63RPGL2FG591908,RAM,3500,2015.0,Truck
3,ASC-8398701-00,,2023-08-03,2024-08-03,2023-10-24,2024-08-03,CN,Cancellation,-298.66,100.0,,1000000.0,"$2,000,000",0.0,,-52.27,3106 Town and Country Road,GA,39845,"Crankman EA, LLC",3106 Town and Country Road,Donalsonville,GA,39845,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.9655,1-8,"Medium Trucks (10,000 - 20,000)",3C63RPGL2FG591908,RAM,3500,2015.0,Truck
4,ASC-7563080-00,,2023-08-09,2024-08-09,2023-10-25,2024-08-09,CN,Cancellation,26.03,100.0,,1000000.0,"$2,000,000",0.0,,4.56,4652 MORNING BROOK LN,CA,95377,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.434,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR8KSJZ3467,FREIGHTLINER,CASCADIA,2019.0,Truck
5,ASC-7563080-00,,2023-08-09,2024-08-09,2023-10-25,2024-08-09,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,4652 MORNING BROOK LN,CA,95377,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.434,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR8KSJZ3467,FREIGHTLINER,CASCADIA,2019.0,Truck
6,ASC-7563080-00,,2023-08-09,2024-08-09,2023-10-25,2024-08-09,CN,Cancellation,-26.11,100.0,,1000000.0,"$2,000,000",0.0,,-4.57,4652 MORNING BROOK LN,CA,95377,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.434,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR8KSJZ3467,FREIGHTLINER,CASCADIA,2019.0,Truck
7,ASC-7563080-00,,2023-08-09,2024-08-09,2023-10-25,2024-08-09,CN,Cancellation,-208.87,100.0,,1000000.0,"$2,000,000",0.0,,-36.55,4652 MORNING BROOK LN,CA,95377,MA TRUCKING INC,4652 MORNING BROOK LN,TRACY,CA,95377,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,1.434,1-8,"Extra Heavy Trucks (45,001+)",3AKJHHDR8KSJZ3467,FREIGHTLINER,CASCADIA,2019.0,Truck
8,ASC-1479166-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,-11212.58,100.0,,1000000.0,"$2,000,000",0.0,,-1962.2,877 COUNTY ROAD 222,FL,34484,L & E DEFINES TRANSPORTATION LLC,PO BOX 728,OXFORD,FL,34484,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.83,1-8,"Extra Heavy Trucks (45,001+)",1FUPCDZB8XPA09852,FREIGHTLINER,CLASSIC,2003.0,Truck
9,ASC-1479166-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,-333.03,100.0,,1000000.0,"$2,000,000",0.0,,-58.28,877 COUNTY ROAD 222,FL,34484,L & E DEFINES TRANSPORTATION LLC,PO BOX 728,OXFORD,FL,34484,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.83,1-8,"Extra Heavy Trucks (45,001+)",1FUPCDZB8XPA09852,FREIGHTLINER,CLASSIC,2003.0,Truck
10,ASC-1479166-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,877 COUNTY ROAD 222,FL,34484,L & E DEFINES TRANSPORTATION LLC,PO BOX 728,OXFORD,FL,34484,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.83,1-8,"Extra Heavy Trucks (45,001+)",1FUPCDZB8XPA09852,FREIGHTLINER,CLASSIC,2003.0,Truck
11,ASC-1479166-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,877 COUNTY ROAD 222,FL,34484,L & E DEFINES TRANSPORTATION LLC,PO BOX 728,OXFORD,FL,34484,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.83,1-8,"Extra Heavy Trucks (45,001+)",1FUPCDZB8XPA09852,FREIGHTLINER,CLASSIC,2003.0,Truck
12,ASC-2577915-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,-5526.29,100.0,,1000000.0,"$2,000,000",0.0,,-967.1,13821 HOLLYWOOD DR,TX,79928,PEDRO GARCIA,13821 HOLLYWOOD DR,El Paso,TX,79928,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.8975,1-8,"Medium Trucks (10,000 - 20,000)",1FD8W3HT4EEA34613,FORD,F350,2014.0,Truck
13,ASC-2577915-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,13821 HOLLYWOOD DR,TX,79928,PEDRO GARCIA,13821 HOLLYWOOD DR,El Paso,TX,79928,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.8975,1-8,"Medium Trucks (10,000 - 20,000)",1FD8W3HT4EEA34613,FORD,F350,2014.0,Truck
14,ASC-2577915-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,-61.06,100.0,,1000000.0,"$2,000,000",0.0,,-10.69,13821 HOLLYWOOD DR,TX,79928,PEDRO GARCIA,13821 HOLLYWOOD DR,El Paso,TX,79928,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.8975,1-8,"Medium Trucks (10,000 - 20,000)",1FD8W3HT4EEA34613,FORD,F350,2014.0,Truck
15,ASC-2577915-00,,2023-08-11,2024-08-11,2023-10-02,2024-08-11,CN,Cancellation,0,100.0,,1000000.0,"$2,000,000",0.0,,0.0,13821 HOLLYWOOD DR,TX,79928,PEDRO GARCIA,13821 HOLLYWOOD DR,El Paso,TX,79928,Cover Whale Insurance Solutions Inc.,Daniel Abrahamsen,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,,Primary,Occurrence,0.8975,1-8,"Medium Trucks (10,000 - 20,000)",1FD8W3HT4EEA34613,FORD,F350,2014.0,Truck
