Target,Source,Comment,,,,
MGA,producer_firm_name,Column AM in Ascot_Bordereau_10_2023,,,,
Program Name,N/A,,,,,
Issuing Company,N/A,,,,,
Full policy number,policy_number,Column C in Ascot_Bordereau_10_2023,,,,
Policy Effective Date,policy_effective_date,Column E in Ascot_Bordereau_10_2023,,,,
Policy Expiration Date,policy_expiration_date,Column F in Ascot_Bordereau_10_2023,,,,
Insured Name,insured_name,Column AC in Ascot_Bordereau_10_2023,,,,
Insured Address,insured_address_1,Column AD in Ascot_Bordereau_10_2023,,,,
Insured City,insured_city,Column AF in Ascot_Bordereau_10_2023,,,,
Insured State,insured_state,Column AG in Ascot_Bordereau_10_2023,,,,
Insured Zip,insured_zip,Column AH in Ascot_Bordereau_10_2023,,,,
Transaction Effective Date,transaction_effective_date,Column G in Ascot_Bordereau_10_2023,,,,
Transaction Expiration Date,transaction_expiration_date,Column H in Ascot_Bordereau_10_2023,,,,
Premium, written_premium_ex_tria ,Column M in Ascot_Bordereau_10_2023,,,,
Terrorism Premium,0,,,,,
Total Gross Premium including Terrorism,Policy premium plus accepted terrorism premium,Use the formula to derive the premium,,,,
Commission amount,commission,Column W in Ascot_Bordereau_10_2023,,,,
Net Premium,"This consists of Total Gross Premium including Terrorism minus the commission amount plus the front fee amount and the BB&T and any taxes, fees and surcharges being submitted to Ascot",Use the formula to derive the premium,,,,
Surcharge amount,0,,,,,
Surcharge type,N/A,,,,,
Tax Amount,0,,,,,
Tax Type,N/A,,,,,
Fee Amount,0,,,,,
Fee Type,N/A,,,,,
Payment terms,N/A,,,,,
Book or Process Date,transaction_effective_date,Column G in Ascot_Bordereau_10_2023,,,,
Policy Type,transaction_description,Column K in Ascot_Bordereau_10_2023,,,,
Transaction Type,transaction_type,Column AT in Ascot_Bordereau_10_2023,,,,
Primary/Excess Indicator,primary_excess,Column I in Ascot_Bordereau_10_2023,,,,
Attachment Point,attachment_point,Column U in Ascot_Bordereau_10_2023,,,,
CM/Occ Indicator,claims_basis,Column AU in Ascot_Bordereau_10_2023,,,,
Retroactive date,N/A,,,,,
Risk/Location #,N/A,,,,,
Risk/Location Address,risk_location_address_1,Column Y in Ascot_Bordereau_10_2023,,,,
Risk/Location City,N/A,,,,,
Risk/Location State,risk_state_code,Column AA in Ascot_Bordereau_10_2023,,,,
Risk/Location Zip,risk_location_zip,Column AB in Ascot_Bordereau_10_2023,,,,
Risk/Location premium,0,,,,,
Technical Price,0,,,,,
IRPM (Individual Risk Premium Modification),1,Default should be 1,,,,
Exposure Type,exposure,Column P in Ascot_Bordereau_10_2023,,,,
Exposure Amount,0,,,,,
Policy Occurrence Limit,limit_occurrence,Column S in Ascot_Bordereau_10_2023,,,,
Policy Aggregate Limit,limit_aggregate,Column T in Ascot_Bordereau_10_2023,,,,
SIR/Deductible indicator,N/A,,,,,
SIR/Deductible amount,deductible,Column V in Ascot_Bordereau_10_2023,,,,
SIR/Deductible type,N/A,,,,,
NAICS or SIC Code,N/A,,,,,
