MGA,Full policy number,Policy Effective Date,Policy Expiration Date,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Transaction Effective Date,Transaction Expiration Date,Premium,Commission amount,Book or Process Date,Policy Type,Transaction Type,Primary/Excess Indicator,Attachment Point,CM/Occ Indicator,Risk/Location Address,Risk/Location State,Risk/Location Zip,Exposure Type,Policy Occurrence Limit,Policy Aggregate Limit,Policy Event Number,Carrier %,Broker/Agent,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,Vehicle Number,Vehicle Type,Radius Of Use,Gross Vehicle Weight,Vehicle Make,Vehicle Model,Model Year,Vehicle Identification Number,Specialized Vehicle Type,"Vehicle Number of Seats, Seating Capacity"
Arrowhead General Insurance Agency Inc,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,500,87.55,8/7/2023,New Business,Endorsement,Primary,,Occurrence,154 WESTLAND ST,CT,6120,0,1000000.0,2000000,0-5,100.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,500,87.55,8/25/2023,New Business,Endorsement,Primary,,Occurrence,154 WESTLAND ST,CT,6120,0,1000000.0,2000000,0-10,100.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,0,0.0,8/25/2023,New Business,Unapply,Primary,,Occurrence,154 WESTLAND ST,CT,6120,,1000000.0,2000000,0-6,100.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,0,0.0,8/7/2023,New Business,Endorsement,Primary,,Occurrence,154 WESTLAND ST,CT,6120,,1000000.0,2000000,0-5,100.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,0,0.0,8/25/2023,New Business,Endorsement,Primary,,Occurrence,154 WESTLAND ST,CT,6120,,1000000.0,2000000,0-10,100.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000025-00,06/25/2023,06/17/2024,Rego Realty Corporation,154 WESTLAND ST,HARTFORD,CT,6120,08/04/2023,06/17/2024,-500,-87.55,8/25/2023,New Business,Unapply,Primary,,Occurrence,154 WESTLAND ST,CT,6120,0,1000000.0,2000000,0-6,100.0,RSG Specialty LLC,"5565 Glenridge Connector, Suite 550",Atlanta,GA,30342.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,5750,977.5,8/2/2023,New Business,New Business,Primary,,Occurrence,3540 N GRAPEVINE MILLS BLVD,TX,76051,Gross Sales,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,14250,2422.5,8/2/2023,New Business,New Business,Primary,,Occurrence,3540 N GRAPEVINE MILLS BLVD,TX,76051,Gross Sales,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000043-00,07/31/2023,07/31/2024,TVC1 LLC,3540 N GRAPEVINE MILLS BLVD,GRAPEVINE,TX,76051,07/31/2023,07/31/2024,0,0.0,8/2/2023,New Business,New Business,Primary,,Occurrence,3540 N GRAPEVINE MILLS BLVD,TX,76051,,1000000.0,2000000,0-1,100.0,"Peachtree Special Risk Brokers, LLC",11405 North Community House Rd #100,Charlotte,NC,28277.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000044-00,08/02/2023,08/02/2024,"Gateway Commons HomeownerÂs Association, Inc.",6153 N CEYLON ST,DENVER,CO,80249,08/02/2023,08/02/2024,10000,1700.0,8/7/2023,New Business,New Business,Primary,,Occurrence,14142 DENVER WEST PKWY,CO,80401,Units,1000000.0,2000000,0-1,100.0,Amwins Insurance Brokerage LLC,3630 Peachtree Rd. NE Suite 1700,ATLANTA,GA,30326.0,,,,,,,,,,
Arrowhead General Insurance Agency Inc,TSAHGL0000044-00,08/02/2023,08/02/2024,"Gateway Commons HomeownerÂs Association, Inc.",6153 N CEYLON ST,DENVER,CO,80249,08/02/2023,08/02/2024,0,0.0,8/7/2023,New Business,New Business,Primary,,Occurrence,14142 DENVER WEST PKWY,CO,80401,,1000000.0,2000000,0-1,100.0,Amwins Insurance Brokerage LLC,3630 Peachtree Rd. NE Suite 1700,ATLANTA,GA,30326.0,,,,,,,,,,
