Data Element,Description,Alternative_names
MGA,Name of the Program Administrator/MGA,Agent;MGA;Managing General Agent
Program Name,Name of the program (ABC non admitted auto),Program Name;Admitted
Issuing Company,TSIC for Non-Admitted and TIC for Admitted,Issuing Company;Market Co
Full policy number,Automatically assigned number from the TIG policy block including prefix and suffix,Full policy number; Policy #
Policy Effective Date,Effective Date is a point in time for when a contractual provision commences or goes into effect.,Policy Effective Date;Eff. Date
Policy Expiration Date,"Expiration Date is the year, month, and day when a contractual term or coverage is ended or when a policy expires.",Policy Expiration Date;Exp. Date
Insured Name,"Name of Insured.  If first and last name, format should be Last Name, First Name, Middle Name",Insured Name;Insured
Insured Address,Insured address as it appears on the Dec page for mailing,Insured Address
Insured City,Insured city as it appears on the Dec page,Insured City
Insured State,Insured state as it appears on the Dec page,Insured State;State
Insured Zip,Insured zip as it  appears on the Dec page,Insured Zip
Transaction Effective Date,"Date transaction is effective.  In cases of NB or Ren, the transaction effective date would be the same as the policy effective date.  In cases of endorsement, this is the date the policy change is effective.",Transaction Effective Date;Tran Eff. Date
Transaction Expiration Date,"Date transaction expires.  In cases of NB or Ren, the transaction expiration date would be the same as the policy expiration date.  In cases of endorsement, this is the date the policy change expires.",Transaction Expiration Date;Exp. Date
Premium,Policy premium,Premium;Gross Premium
Terrorism Premium,Accepted terrorism premium,Terrorism Premium
Total Gross Premium including Terrorism,Policy premium plus accepted terrorism premium,Total Gross Premium including Terrorism
Commission amount,Direct Commission (GWP * commission %),Commission amount;Gross Comm Amt
Net Premium,What will be remitted to TIG,Net Premium;(Gross Premium minus Gross Comm Amt) + Broker Fee + Broker Insp Fee + Other Fee Amount + Total Inv Fee + Total Inv Taxes
Surcharge amount,Surcharge charged amount - Admitted only,Surcharge amount
Surcharge type,"Type of Surcharge (State Surcharges, WC, Motor Vehicle), separated by type - Admitted only",Surcharge type
Tax Amount,Tax charged - Admitted only for Non -admitted should include BB&T,Tax Amount;Total INV Taxes
Tax Type,"Type of tax, needs to be separated by type - Admitted only Non-admitted should include BB&T",Tax Type;Admitted
Fee Amount,Fee charged amount (policy fees ),Fee Amount;Total INV Fees
Fee Type,"Type of fee, needs to be separated by type and must include Front fee",Fee Type;Fee Basis
Payment terms,"Annual, Monthly, Quarterly, Semi Annually, Full Pay",Payment terms
Book or Process Date,Date transaction is reflected on the books,Book or Process Date;Book Date
Policy Type,New or Renewal,Policy Type
Transaction Type,"Endorsement, Extension, Cancellation, Reinstatement, etc.",Transaction Type;Trans Code
Endorsement number,Endorsment number,
Primary/Excess Indicator,"Primary = first dollar coverage excluding SIR or Deductible, Excess = risk attaching",Primary/Excess Indicator;'Primary'
Attachment Point,Required on excess and umbrella policies,Attachment Point
