Data Element,Data,Alternative_names
MGA,"Arrowhead General Insurance Agency Inc
Plimsoll Specialty Markets LLC
Marsh USA Chicago, Inc., 
Marsh & McLennan Agency
Travers & Associates
Wings Insurance 
Halton Hall & Associates, Inc.
Avion Insurance Agency, Inc
Daniel Abrahamsen",Agent;MGA;Managing General Agent
Program Name,"Arrowhead ES Primary General Liability
Non Admitted
Non Admitted
Non Admitted
Non Admitted
Non Admitted
Non Admitted
Non Admitted",Program Name;Admitted
Issuing Company,"TSIC
Transverse Specialty Insurance Company
Transverse Specialty Insurance Company
Transverse Specialty Insurance Company
Transverse Insurance Company
Transverse Insurance Company
Transverse Insurance Company
Transverse Insurance Company",Issuing Company;Market Co
Full policy number,"TSAHGL0000025-00
TSBAAC 0000002-00
TSBAAC 0000091-00
TSBAAC 0000086-00
TIBAAN 0000037-00
TIBAAN 0000067-00
TIBAAN 0000080-00
TIBAAN 0000001-00
ASC-8398701-00",Full policy number; Policy #
Policy Effective Date,,Policy Effective Date;Eff. Date
Policy Expiration Date,,Policy Expiration Date;Exp. Date
Insured Name,"Rego Realty Corporation
3D Aviation Inc
Venture Travel, LLC
Gateway Canyons Air Tours, LLC
Shoreline Aviation LLC
ZMN Enterprises, LLC and Centurion Holdings, LLC
Pollard Aircraft Sales Inc; Pollard Spares LLC; et al
Ward Aviation, LLC
Crankman EA, LLC",Insured Name;Insured
Insured Address,"154 WESTLAND ST
154 WESTLAND ST
154 WESTLAND ST
154 WESTLAND ST
154 WESTLAND ST
3540 N GRAPEVINE MILLS BLVD
6153 N CEYLON ST
300 STERLING PLAZA DR STE 301
3106 Town and Country Road",Insured Address
Insured City,"HARTFORD
E FARMINGDALE
Ketchikan
Gateway
Sandy
Kila
Fort Worth
Grand Rapids
Donalsonville",Insured City
Insured State,"CT
NY
AK
CO
UT
MT
TX
MI
GA",Insured State;State
Insured Zip,"6120
6120
6120
6120
6120
76051
80249
32081
39845",Insured Zip
Transaction Effective Date,,Transaction Effective Date;Tran Eff. Date
Transaction Expiration Date,,Transaction Expiration Date;Exp. Date
Premium,"500
$3,185.38 
$16,577.50 
($7,500.00)
$97,864.00 
$250.00 
($6,282.00)
($11,332.00)
-138.67",Premium;Gross Premium
Terrorism Premium,"15
15
15
0
-15
0
0",Terrorism Premium
Total Gross Premium including Terrorism,"$3,185.38 
$16,577.50 
($7,500.00)
$97,864.00 
$250.00 
($6,282.00)
($11,332.00)",Total Gross Premium including Terrorism
Commission amount,"87.55
$796.35 
$4,144.38 
($1,875.00)
$24,466.00 
$62.50 
($1,570.50)
($2,833.00)
-24.27",Commission amount;Gross Comm Amt
Net Premium,"427.45
427.45
427.45
0
-427.45
0
8300
0",Net Premium;(Gross Premium minus Gross Comm Amt) + Broker Fee + Broker Insp Fee + Other Fee Amount + Total Inv Fee + Total Inv Taxes
Surcharge amount,"0
0
0
0
0
0
0
0",Surcharge amount
Surcharge type,,Surcharge type
Tax Amount,,Tax Amount;Total INV Taxes
Tax Type,,Tax Type;Admitted
Fee Amount,,Fee Amount;Total INV Fees
Fee Type,,Fee Type;Fee Basis
Payment terms,,Payment terms
Book or Process Date,,Book or Process Date;Book Date
Policy Type,,Policy Type
Transaction Type,,Transaction Type;Trans Code
Endorsement number,,
Primary/Excess Indicator,,Primary/Excess Indicator;'Primary'
Attachment Point,,Attachment Point
CM/Occ Indicator,,CM/Occ Indicator
Retroactive date,,Retroactive date
Risk/Location #,,Risk/Location #
Risk/Location Address,,Risk/Location Address
Risk/Location City,,Risk/Location City
Risk/Location State,,Risk/Location State
Risk/Location Zip,,Risk/Location Zip
Risk/Location premium,,Risk/Location premium
Technical Price,,Technical Price;Gross Premium
IRPM (Individual Risk Premium Modification),,IRPM (Individual Risk Premium Modification)
Exposure Type,,Exposure Type
Exposure Amount,,Exposure Amount
Policy Occurrence Limit,,Policy Occurrence Limit
Policy Aggregate Limit,,Policy Aggregate Limit
SIR/Deductible indicator,,SIR/Deductible indicator
SIR/Deductible amount,,SIR/Deductible amount
SIR/Deductible type,,SIR/Deductible type
NAICS or SIC Code,,NAICS or SIC Code;NAICS Code
Annual Statement Line Code,,Annual Statement Line Code;'2'
