================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
------------------------------------------------------------
dog                            KSComplement         77.69%    
cat                            TVComplement         88.87%    
rabbit                         KSComplement         57.26%    
deer                           KSComplement         96.26%    
panda                          KSComplement         83.30%    
koala                          TVComplement         83.07%    
otter                          TVComplement         82.61%    
hedgehog                       KSComplement         69.45%    
squirrel                       TVComplement         92.81%    
dolphin                        TVComplement         97.27%    
penguin                        TVComplement         95.42%    
turtle                         KSComplement         93.77%    
elephant                       KSComplement         79.91%    
giraffe                        TVComplement         98.67%    
lamb                           TVComplement         86.37%    
goat                           TVComplement         87.59%    
cow                            KSComplement         52.69%    
horse                          KSComplement         80.93%    
donkey                         TVComplement         86.61%    
pony                           TVComplement         98.44%    
llama                          TVComplement         99.98%    
mouse                          KSComplement         87.89%    
hamster                        TVComplement         84.48%    
guinea                         KSComplement         77.36%    
duck                           TVComplement         84.68%    
chicken                        KSComplement         82.73%    
sparrow                        TVComplement         95.56%    
parrot                         KSComplement         93.96%    
finch                          TVComplement         99.09%    
canary                         KSComplement         95.99%    
bee                            KSComplement         92.31%    
butterfly                      TVComplement         90.05%    
ladybug                        KSComplement         94.18%    
snail                          KSComplement         82.95%    
frog                           KSComplement         90.50%    
cricket                        TVComplement         75.67%    
tamarin                        TVComplement         80.03%    
wallaby                        TVComplement         91.07%    
wombat                         KSComplement         90.61%    
zebra                          TVComplement         92.30%    
flamingo                       KSComplement         88.85%    
peacock                        TVComplement         99.23%    
bat                            TVComplement         97.77%    
fox                            TVComplement         97.05%    
beaver                         KSComplement         94.60%    
monkey                         TVComplement         91.54%    
seal                           KSComplement         82.30%    
robin                          TVComplement         99.20%    
loon                           KSComplement         68.06%    
swan                           TVComplement         91.94%    
goldfish                       KSComplement         89.33%    
minnow                         TVComplement         99.04%    
mole                           TVComplement         93.08%    
shrew                          KSComplement         62.53%    
puffin                         KSComplement         99.12%    
owl                            TVComplement         99.21%    
bunny                          TVComplement         79.95%    
bear                           KSComplement         87.19%    
chipmunk                       TVComplement         85.44%    
cub                            KSComplement         79.00%    
acorn                          KSComplement         87.84%    
leaf                           TVComplement         86.22%    
cloud                          KSComplement         55.98%    
rainbow                        KSComplement         92.40%    
puddle                         TVComplement         99.75%    
berry                          KSComplement         75.95%    
apple                          KSComplement         90.26%    
honey                          TVComplement         82.69%    
pumpkin                        KSComplement         90.16%    
teddy                          TVComplement         92.38%    
blanket                        TVComplement         85.48%    
button                         KSComplement         92.06%    
whistle                        KSComplement         92.46%    
marble                         TVComplement         94.27%    
wagon                          KSComplement         83.84%    
storybook                      KSComplement         96.47%    
